132.145.81.117:443#KR Seoul
172.64.165.232:443#US California
104.19.104.179:443#None None
172.64.170.185:443#US California
172.64.131.223:443#US California
162.159.58.212:443#None None
162.159.153.39:443#None None
104.20.30.62:443#None None
162.159.152.119:443#None None
172.64.229.42:443#US None
104.20.23.124:443#None None
104.20.26.99:443#None None
104.20.25.170:443#None None
104.19.112.149:443#None None
141.101.121.20:443#None None
47.236.150.13:443#SG None
8.222.214.13:443#SG None
13.212.27.127:443#SG None
8.219.103.126:443#SG None
213.35.115.68:443#SG None
47.236.146.249:443#SG None
18.142.81.50:443#SG None
8.222.221.109:443#SG None
8.222.208.38:443#SG None
8.222.205.210:443#SG None
168.138.162.187:443#SG None
104.19.35.223:443#None None
104.18.109.158:443#None None
104.19.39.43:443#None None
104.19.123.78:443#None None
104.19.27.167:443#None None
172.67.207.95:443#US None
198.41.212.248:443#None None
172.67.91.165:443#US None
198.41.212.248:443#None None
172.67.84.182:443#US None
162.159.152.0:443#None None
172.67.64.0:443#US None
104.26.0.0:443#None None
162.159.128.0:443#None None
104.24.64.0:443#None None
