IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
132.145.81.117,
172.64.165.232,4,4,0.00,138.06,6.58
104.19.104.179,4,4,0.00,141.60,5.12
172.64.170.185,4,4,0.00,141.00,5.08
172.64.131.223,4,4,0.00,140.81,4.64
162.159.58.212,4,4,0.00,72.08,12.91
162.159.153.39,4,4,0.00,69.58,12.57
104.20.30.62,4,4,0.00,73.16,12.55
162.159.152.119,4,4,0.00,74.10,12.49
172.64.229.42,4,4,0.00,51.45,12.47
104.20.23.124,4,4,0.00,73.55,11.45
104.20.26.99,4,4,0.00,74.73,10.90
104.20.25.170,4,4,0.00,72.14,10.85
104.20.28.128,4,4,0.00,74.52,10.44
104.20.17.108,4,4,0.00,75.18,8.09
104.19.90.119,4,4,0.00,143.46,8.03
172.64.163.117,4,4,0.00,145.73,6.74
172.64.104.140,4,4,0.00,138.41,6.69
104.19.123.199,4,4,0.00,143.58,5.88
172.64.108.234,4,4,0.00,141.43,5.36
104.19.124.158,4,4,0.00,140.20,5.36
104.20.47.171,4,4,0.00,211.96,5.67
104.20.30.14,4,4,0.00,227.85,5.24
104.20.36.160,4,4,0.00,225.83,4.01
104.20.59.249,4,4,0.00,227.56,3.80
162.159.58.151,4,4,0.00,229.38,3.41
104.20.51.28,4,4,0.00,224.37,3.00
104.20.55.133,4,4,0.00,207.05,2.62
104.20.49.143,4,4,0.00,208.89,2.55
104.20.54.194,4,4,0.00,229.76,2.50
104.20.42.8,4,4,0.00,221.46,2.00
